Wall time,Step,Value
1736654427.44839,14220,-1.966172695159912
1736654738.6759493,74580,-2.1282541751861572
1736655059.3561578,134760,-2.208291530609131
1736655420.1786997,201330,-1.9378479719161987
1736655542.7994232,223890,-2.1511311531066895
1736655838.545839,277800,-1.9928784370422363
1736656119.3174071,328980,-1.990312099456787
1736656283.0026135,359070,-1.992492914199829
1736656957.0312095,483480,-2.0365209579467773
1736657597.171142,601860,-2.190000057220459
1736657675.6169362,616170,-2.0702266693115234
1736657967.406235,669900,-2.126598358154297
1736658354.4565651,741810,-1.9372031688690186
1736658439.5854208,757590,-1.1610838174819946
1736659522.2919202,958080,-1.842635989189148
1736659725.7946749,995430,-1.7823071479797363
1736660175.5908256,1078590,-1.7085683345794678
1736660292.179324,1099770,-2.190000057220459
1736660472.884127,1132920,-1.8836092948913574
1736660646.4941773,1165200,-1.8052400350570679
1736661419.850728,1309170,-1.8120192289352417
1736661476.9345284,1319790,-1.8835340738296509
1736661865.7328193,1392390,-1.9529448747634888
1736662919.326347,1587180,-0.05531172826886177
1736663509.2647445,1695630,-0.6462516784667969
1736663872.8857882,1762380,-1.8583407402038574
1736664816.3394816,1935630,-1.7453441619873047
1736665185.250048,2003610,-1.823067307472229
1736665222.3888197,2010630,-2.1112868785858154
1736665290.9428906,2023200,-2.0306475162506104
1736665816.3240263,2119680,-2.0891366004943848
1736665942.0543797,2142840,-2.189970016479492
1736666200.3627493,2190270,-1.99185311794281
1736667401.5114458,2411700,-2.1497819423675537
1736668165.5877955,2552670,-1.9066004753112793
1736668440.9787319,2603400,-1.9082903861999512
1736668454.1028697,2605950,-1.9114941358566284
1736668540.8883293,2621790,-2.046253204345703
1736668663.8681943,2644110,-2.004587173461914
1736668862.285178,2680890,-2.169077157974243
1736669601.2922409,2817030,-2.1605169773101807
1736669991.0597184,2889030,-2.1097543239593506
1736670342.0449007,2954211,-1.96910560131073
1736670905.0675392,3058272,-2.126875162124634
1736671292.677224,3130002,-2.190000057220459
1736671525.4124193,3173202,-0.9401026964187622
1736671859.1136131,3235073,-2.1664040088653564
1736671979.9067786,3257543,-2.050370693206787
1736672422.414176,3339636,-1.8549697399139404
1736673104.3756473,3465486,-1.5850015878677368
1736673349.9815567,3511356,-1.6582437753677368
1736673535.7171664,3545646,-2.067883014678955
1736674021.7070076,3635706,-1.9314405918121338
1736675458.984512,3902014,-0.5008097887039185
1736675750.9669044,3956164,-2.099529266357422
1736676158.0721278,4031510,-2.0903899669647217
1736676171.7955084,4034051,-0.7091372609138489
1736676974.7177777,4183212,-0.7071861028671265
1736677059.9683216,4198973,-2.1700241565704346
1736677072.8957434,4201365,-1.0979810953140259
1736677184.234831,4222215,-2.150167942047119
1736677531.125275,4286432,-2.050595760345459
1736677756.2190583,4328174,-1.211596965789795
1736678145.0817065,4400416,-1.87428617477417
1736678802.8544042,4522230,-0.06216857582330704
1736678885.7389114,4537726,-2.150387763977051
1736679838.8965847,4713215,0.00021600571926683187
1736679918.856014,4727985,-2.1699838638305664
1736680347.3246849,4806791,-1.2398072481155396
1736680765.7390842,4882855,-1.8603672981262207
1736680848.1781712,4898054,0.014430076815187931
1736681229.2030728,4967049,-2.0989625453948975
1736681496.8844242,5016144,-1.3199113607406616
1736682223.195029,5149089,-0.7053337097167969
1736682435.490953,5188176,0.17289672791957855
1736682455.8965752,5191806,-0.7863636016845703
1736682533.7419617,5205676,-1.4229178428649902
1736683372.8688996,5359997,-1.652962327003479
1736684125.594529,5497083,-1.6382218599319458
1736684178.023694,5506893,-1.325842022895813
1736684612.5211403,5585913,-1.7660857439041138
1736684752.6332679,5611653,0.20935744047164917
1736684760.35188,5613153,-0.9125559329986572
1736685277.4288745,5709082,-0.28630098700523376
1736686073.4235575,5857818,-1.0081851482391357
1736686089.0882125,5860908,-0.6342657804489136
